city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Qadisiyah ,South,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000
 Riyadh,   Al-Qadisiyah ,South,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000
 Riyadh,   Al-Muayzlah ,West,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
 Riyadh,   Al-Ulya ,West,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000
 Riyadh,   Al-Aizdihar ,East,250,25,5,4,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,45000
 Riyadh,   Al-Mahdia ,North,250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,45000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Hazm ,Southeast,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000
 Riyadh,   Al-Ulya ,Southwest,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000
 Riyadh,   Al-Areed ,North,290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,150000
 Riyadh,   Al-Sahafa ,East,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000
 Riyadh,   Benban ,North,840,0,5,5,2,1,1,1,1,0,1,1,1,0,0,0,1,1,0,150000
 Riyadh,   Al-Areed ,South,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000
 Riyadh,   Western Al-Naseem ,East,500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,70000
 Riyadh,   Al-Aizdihar ,East,900,20,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,250000
 Riyadh,   Al-Narcissus ,Northwest,377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,76000
 Riyadh,   Al-Malaz ,Southwest,750,28,7,5,3,1,1,1,1,0,0,1,1,1,0,0,0,0,1,80000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,85000
 Riyadh,   Al-Areed ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 Riyadh,   Al-Yasameen ,South,339,9,4,5,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,120000
 Riyadh,   Al-Munsiyah ,South,350,0,3,3,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,65000
 Riyadh,   Al-Sulaymaniyah ,North,200,10,4,5,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,90000
 Riyadh,   Al-Areed ,East,220,0,4,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
 Riyadh,   Al-Aqeeq ,East,900,20,5,5,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,200000
 Riyadh,   Al-Munsiyah ,Northwest,290,0,7,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,90000
 Riyadh,   Al-Mursalat ,West,400,18,5,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,150000
 Riyadh,   Al-Aqeeq ,West,375,13,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80000
 Riyadh,   Al-Munsiyah ,East,200,5,7,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,50000
 Riyadh,   Al-Rahmaniyah ,North,450,12,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,130000
 Riyadh,   Al-Ramal ,West,360,0,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,45000
 Riyadh,   Al-Qadisiyah ,West,250,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,55000
 Riyadh,   Al-Narcissus ,East,270,0,4,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,100000
 Riyadh,   Al-Ramal ,Northwest,350,0,4,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,40000
 Riyadh,   Tuwaiq ,Southwest,400,0,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,40000
